Product_Name,Brand,Offered_Price,Actual_Price,Rating,Connectivity,Compatibility
"Cosmic Byte Ares Pro Wireless Controller for PC, Android, iOS – Tri-Mode (2.4GHz, Bluetooth, Wired), Hall Effect Joysticks & Triggers, 1000Hz Polling, Backlit Buttons, 3.5mm Audio Port, Upgraded Windows Software Support (Black)",Cosmic,2349,4499,4.1,Wireless,Universal
"Cosmic Byte Ares Tri-Mode Wireless, Bluetooth, Wired Controller for PC – 2.4GHz, Bluetooth, USB-C Wired, Hall Effect Joysticks & Triggers, Turbo, Auto Turbo,Dual Vibration, Upgraded 1000Hz Polling (Black)",Cosmic,1699,3499,4.3,Wireless,Universal
"PowerA Advantage Wired Gaming Controller with Lumectra for Xbox Series X/S, Xbox One, PC, Windows 10/11 with Vivid LED Lighting, Black (Officially Licensed)",PowerA,3299,329900,4.3,Wired,Universal
"Cosmic Byte ARES Wired Controller for PC, Upgraded Hall Effect Joystick & Triggers, Dual Vibration, Backit LED Buttons, Turbo, Auto Turbo (Black)",Cosmic,999,2499,4.5,Wired,Universal
"ZEBRONICS MAX LINK PRO, Wireless Controller, Hall Effect, 6 Axis Gyro, Analog Triggers, Touch Pad, Dual Motor Haptics, Macro Buttons, Rechargeable Battery, Supports PS4, PS3, Windows, Android, iOS",ZEBRONICS,2099,4199,3.3,Wireless,Console
"GameSir T4 Wireless Controller for Cyclone Switch/Lite/OLED Hall Effect Joystick & Trigger 6-Axis Gyro for Android, IOS, Steam Deck, Windows PC, Steam Gamepad Back Button, Fire Macro Function (White)",GameSir,4636,19999,3.7,Wireless,Universal
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Warrior's Nirvana (Officially Licensed)",PowerA,2999,299900,4.3,Wired,Universal
"Kreo Surge Ultra Wireless Gaming Controller for PC, Nintendo Switch, Android & iOS | Hall Effect Joysticks, 1000Hz Polling, 2.4GHz + Bluetooth + Wired | Back Buttons, Turbo Mode, Adjustable Triggers, Vibration Gamepad",Kreo,3999,8999,4.5,Wireless,Universal
"EvoFox Go Smartphone Bluetooth Gamepad for iPhones, iPads & Android | 2 Macro Back Buttons, Dual Vibration Motors, Turbo Mode, Analog Triggers, High Precision Joysticks | Android KeyMap Mode (Grey)",EvoFox,1499,2499,3.8,Wired,Console
Porro Fino Wireless Gaming Controller Joystick Support for Android Phone Smart Box Smart TV & Smart Phone X3 Bluetooth Wireless Gamepad Controller Handle for Android Smartphone,Porro,780,1499,3.8,Wireless,Console
"EDNITA Controller Cover for PS5 Silicone Skin, Controller Accessories, Non-Slip PS 5 Case with Thumb Grip Caps, Touch Pad Sticker and Cover Wrap Stickers (Pack of-1)",EDNITA,399,1599,4.3,Wired,Console
"GameSir Nova Lite 2.4g Controller for PC, Steam, Switch, iOS and Android devices, Wireless Gaming Gamepad with Hall Effect Joysticks, Turbo Function - Yellow",GameSir,3299,329900,4.7,Wireless,Universal
ENTWINO Wireless Gaming Controller Android Phone Smart Box Smart TV & Smart Phone X3 Bluetooth Wireless Gamepad Controller,ENTWINO,699,279600,5.0,Wireless,Console
"Cosmic Byte Lumora Tri-Mode Controller with Stealth Black RGB-Reveal Design, Hall Effect Joysticks & Triggers, Mechanical Buttons, 1000Hz Polling Rate, 6-Axis Gyro, Windows Software, 3.5mm Audio Jack, Macro & Turbo, 1300mAh Battery",Cosmic,3399,5999,4.6,Wired,Console
"Cosmic Byte Blitz Tri Mode Controller for PC, Hall Effect Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo, Upgraded with Gyro, TMR Joystick, Software and Charging Dock Support (Black)",Cosmic,1999,3999,4.3,Wired,Universal
Acer Nitro Katana NT-01 Wireless Game Controller | BT + Wired USB-C | 6-Axis Gyro Motion | Dual Vibration Motors | 20 Buttons | Hall Effect Triggers | 900mAh Battery | Switch/Android/iOS/PC Compatible,Acer,2099,3999,3.4,Wireless,Universal
"BKN Ak-66 Mobile Gaming Controller Gamepad Metal Alloy Triggers Fits Sensitive Shoot Supports For All Android And Ios Phones & Pubg, Fortnite, Knives Out, Cod, Free Fire, Krafton Etc.",BKN,299,899,3.1,Wired,Console
"Maizic Smarthomea Funetic Zombie Survival Game Themed Bluetooth Wireless P4 Gaming Controller | PC, Smartphone | Dual Vibration, Turbo, Touchpad, Type-C Fast Charging, 10hr Battery",Maizic,999,99900,0,Wireless,Universal
acer Nitro Katana NT-02 Wireless Multi-Platform Game Controller | Bluetooth 5.3 | Touchpad & Built-in Speaker | Dual Vibration | MR/ML Programmable Buttons | Hall Triggers | Switch/PC/Android/iOS/PS4,acer,2299,3599,4.0,Wireless,Universal
Sony DualSense Wireless Controller Grey Camo (PlayStation 5),Sony,6390,6390,4.2,Wireless,Console
"Corsair Novablade Pro Wireless Hall Effect Leverless Controller for PS5/PC – 15-Button – 360° RGB Lighting – 1,000Hz Polling – 2.4GHz Wireless",Corsair,29477,37500,4.0,Wireless,Universal
"PowerA Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Mariner Blue (Officially Licensed)",PowerA,2599,4499,4.2,Wired,Universal
"GAMENOPHOBIA X3 Bluetooth Wireless Gamepad Controller | Joystick for Android Smartphone, Smart TV, TV Box & Tablet | Ergonomic Dual Analog Handle with Mobile Stand | Wireless Gaming Controller (Black)",GAMENOPHOBIA,780,1999,3.3,Wireless,Console
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Trigger and Upgraded TMR Joystick, Macros, 1000mAh Battery, RGB LED, Software Support (Black)",Cosmic,2699,5499,4.2,Wired,Universal
"Cosmic Byte Ares Pro Wireless Controller for PC, Android, iOS – Tri-Mode (2.4GHz, Bluetooth, Wired), Hall Effect Joysticks & Triggers, 1000Hz Polling, Backlit Buttons, 3.5mm Audio Port, Upgraded Windows Software Support (Black)",Cosmic,2349,4499,4.1,Wireless,Universal
SpinBot Astro GX2 Wireless PC Controller with RGB Lighting | 1000Hz Polling Rate | Hall Effect Joysticks | Turbo Mode | 2.4GHz Low-Latency Gamepad for Windows,SpinBot,1699,3499,4.0,Wireless,Universal
Cosmic Byte Eclipse Tri-Mode Controller | Hall Effect Triggers with Trigger Locks | Adjustable Force TMR Joysticks | 6-Axis Gyro | HD Voice Coil Vibration | Macro Back Buttons | PC/Android/iOS,Cosmic,3499,6999,4.5,Wired,Universal
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Trigger and Upgraded TMR Joystick, Macros, 1000mAh Battery, RGB LED, Software Support (Black)",Cosmic,2699,5499,4.2,Wired,Universal
"GameSir Tegenaria Lite Wired Game Controller For Switch, Android, iOS, PC, Steam With Retro 90s Design, Hall Effect Sticks, 1000Hz Polling Rate,Mappable Back Buttons -Retro Gray",GameSir,1999,199900,4.3,Wired,Universal
"PowerA Battle Dragon™ Ghost Dragon Advanced Wireless Controller with Lumectra for PC & Cloud Gaming: Magnetic Hall Effect Joysticks/Triggers, Adjustable Height Joysticks & Vibrations, 30h Playtime",PowerA,5399,7999,4.8,Wireless,Universal
"Logitech G F310 Wired Gamepad, Controller Console Like Layout, 4 Switch D-Pad, 1.8-Meter Cord, PC/Steam/Windows/AndroidTV - Grey/Blue",Logitech,2595,2695,4.4,Wired,Universal
"8Bitdo Ultimate C Wired Controller for Xbox with Hall Effect Joysticks and Triggers, RGB Lighting Fire Ring, Compatible with Xbox Series X|S, Xbox One, Windows 10/11- Officially Licensed (Orange)",8Bitdo,2999,299900,4.6,Wired,Console
GameSir Nova Lite Gaming Controller Wireless Bluetooth Wireless Connection Controller PC/Steam/Switch/iOS/Android Gamepad Anti-Drift Hall Effect Joystick Turbo Control (Space Purple),GameSir,3299,3299,4.2,Wireless,Universal
"GAMENOPHOBIA Wireless Controller for PS3, professional usb Wireless Gamepad compatible with PlayStation3 PS3 [video game]",GAMENOPHOBIA,780,1499,3.6,Wireless,Console
"8Bitdo Ultimate 2C Wireless Controller for Windows PC and Android, with 1000 Hz Polling Rate, Hall Effect Joysticks and Triggers, and Remappable L4/R4 Bumpers (Transparent Black)",8Bitdo,2999,299900,4.4,Wireless,Universal
"Cosmic Byte Blitz Tri Mode Controller for PC, Hall Effect Triggers, 1000Hz Polling Rate, Adjustable Vibration, Turbo & Auto Turbo, Upgraded with Gyro, TMR Joystick, Software and Charging Dock Support (Black)",Cosmic,1999,3999,4.3,Wired,Universal
Cosmic Byte Starforge Tri-Mode Controller | Optical Triggers with Trigger Locks | TMR Replaceable Joysticks | Impulse Trigger Feedback | HD Voice Coil Vibration | Macro Back Buttons | RGB & Tri-Mode Connectivity,Cosmic,4285,9999,3.1,Wired,Console
CLAW Shoot Wireless 2.4Ghz USB Gamepad Controller for PC Supports Windows XP/7/8/10 with Rubberized Textured Grip and Dual Vibration Motors (Does not have Bluetooth || Not for Mobile),CLAW,1368,1790,3.8,Wireless,Universal
A.K.TRADERS Wired USB Game Gaming USB Gamepad for Pc Gamepad Controller Joypad Joystick Control for Pc Computer Laptop for Windows,A.K.TRADERS,449,1999,2.7,Wired,Universal
"PowerA Advantage Wired Gaming Controller for Xbox Series X/S, Xbox One, PC, Windows 10/11, Fortnite Midas, USB-C, Officially Licensed (Bonus Virtual Item Included)",PowerA,3099,309900,4.4,Wired,Universal
"EvoFox Elite X Wireless Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Free USB Extender,Translucent Shell Gamepad for pc (Red)",EvoFox,1499,2299,4.0,Wireless,Universal
"PowerA Advantage Wired Gaming Controller with Lumectra for Xbox Series X/S, Xbox One, PC, Windows 10/11 with Vivid LED Lighting, Black (Officially Licensed)",PowerA,3299,329900,4.3,Wired,Universal
"UNCTRL RAGE Type-C Gaming Controller for Mobile, Android, iPhone(USB-C), PC, Ultra Low Latency, Hall Effect Joysticks/Triggers, Key Mapping, Turbo, RT, Charging, RGB, PSRemotePlay & SteamLink Support",UNCTRL,3999,8765,4.0,Wired,Universal
"NiTHO NEXUS Wireless Controller for PC, Windows, Switch & Switch 2, iOS, Android, Gaming Gamepad with RGB Light | Hall Effect Triggers | 6-Axis Gyro | Vibration & Turbo | Programmable Buttons, White",NiTHO,2199,3199,4.2,Wireless,Universal
"Cosmic Byte Lumora Tri-Mode Controller with Stealth Black RGB-Reveal Design, Hall Effect Joysticks & Triggers, Mechanical Buttons, 1000Hz Polling Rate, 6-Axis Gyro, Windows Software, 3.5mm Audio Jack, Macro & Turbo, 1300mAh Battery",Cosmic,3399,5999,4.6,Wired,Console
"Cosmic Byte Ares Pro Wireless Controller for PC, Android, iOS – Tri-Mode (2.4GHz, Bluetooth, Wired), Hall Effect Joysticks & Triggers, 1000Hz Polling, Backlit Buttons, 3.5mm Audio Port, Upgraded Windows Software Support (Black)",Cosmic,2349,4499,4.1,Wireless,Universal
"Manba One Interactive Screen Wireless Gaming Controller for PC/Switch/iOS/Android,Hall Effect Stick & Trigger,RGB Lighting,Remappable Buttons,1800mAh with Charging Dock (Deep Black)",Manba,7739,10348,5.0,Wireless,Universal
"Cosmic Byte Lumora Tri-Mode Controller with Stealth Black RGB-Reveal Design, Hall Effect Joysticks & Triggers, Mechanical Buttons, 1000Hz Polling Rate, 6-Axis Gyro, Windows Software, 3.5mm Audio Jack, Macro & Turbo, 1300mAh Battery",Cosmic,3399,5999,4.6,Wired,Console
"ZEBRONICS MAX LINK PRO, Wireless Controller, Hall Effect, 6 Axis Gyro, Analog Triggers, Touch Pad, Dual Motor Haptics, Macro Buttons, Rechargeable Battery, Supports PS4, PS3, Windows, Android, iOS",ZEBRONICS,2099,4199,3.3,Wireless,Console
"Offbeat Bluetooth 5.2 wireless RGB gaming Controller for PC, IOS/ Android | Dual-mode BT 5.2 + Wired gamepad | Hall effect magnetic triggers & joystick | Macro programmable button and turbo mode | Rechargeable Type C",Offbeat,1890,2990,3.9,Wireless,Universal
"Maizic Smarthome Funetic Fighting Game Themed Wireless Bluetooth P4 Controller | Dual Vibration, Turbo | Type-C Fast Charging, 10Hr Battery | Compatible with PS4/Pro/Slim, PC & Smartphones",Maizic,999,4399,0,Wireless,Universal
